,,,,,,,,,,,,,,,,,,
1.0 Rental Market Indicators - Privately Initiated Apartment Structures of Three Units and Over - Provinces and Major Centres,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Vacancy Rates (%),,,,,Turnover Rates (%),,,,,Average Rent Two Bedroom ($) (New and Existing Structures),,,,Percentage Change of Average Rent Two Bedroom From Fixed Sample (Existing Structures Only),,,
Centre,Oct-19,,Oct-20,,,Oct-19,,Oct-20,,,Oct-19,,Oct-20,,"Oct-18
to
Oct-19",,"Oct-19
to
Oct-20",
"Newfoundland & Labrador 10,000+",7.0,a,7.2,a,-,20.8,a,12.4,c,↓,880,a,891,a,++,,1.4,a
St. John's CMA,6.9,a,7.5,a,-,24.5,a,10.9,c,↓,966,a,974,a,-0.8,a,1.6,a
"Prince Edward Island 10,000+",1.2,a,2.6,a,↑,13.0,a,14.1,c,-,921,a,958,a,2.8,b,3.2,c
Charlottetown CA,1.2,a,2.7,b,↑,13.4,c,14.1,c,-,937,a,978,a,2.9,b,2.7,c
"Nova Scotia 10,000+",1.4,a,2.1,a,↑,18.4,a,15.0,a,↓,"1,133",a,"1,182",a,3.5,b,4.0,a
Halifax CMA,1.0,a,1.9,a,↑,18.8,a,14.4,a,↓,"1,202",a,"1,255",a,3.7,b,4.2,b
"New Brunswick 10,000+",2.6,a,3.1,a,↑,21.2,a,15.5,a,↓,842,a,893,a,3.5,b,3.7,a
Moncton CMA,2.2,a,2.8,a,↑,19.6,a,11.3,c,↓,870,a,949,a,2.6,b,4.7,b
Saint John CMA,3.3,b,3.1,c,-,20.6,a,14.4,c,↓,797,a,825,a,4.4,c,3.4,c
"Québec 10,000+",1.8,a,2.5,a,↑,17.2,a,12.9,a,↓,815,a,856,a,3.0,a,3.3,a
Saguenay CMA,3.7,c,2.8,b,-,24.8,a,18.6,a,↓,649,a,664,a,2.7,c,2.0,c
Montréal CMA,1.5,a,2.7,a,↑,15.7,a,11.4,a,↓,855,a,903,a,3.4,a,3.6,a
Ottawa-Gatineau CMA (Qué. part),1.5,b,1.6,a,-,21.3,a,18.4,a,↓,874,a,950,a,4.2,b,2.2,b
Québec CMA,2.4,a,2.7,a,-,21.5,a,16.3,a,↓,862,a,899,a,1.9,a,2.7,a
Sherbrooke CMA,2.3,a,1.3,a,↓,22.4,a,14.2,a,↓,658,a,671,a,2.1,a,3.1,c
Trois-Rivières CMA,2.3,a,1.3,a,↓,22.3,a,15.4,d,↓,625,a,621,a,4.1,b,2.0,b
"Ontario 10,000+",2.0,a,3.2,a,↑,13.0,a,11.8,a,↓,"1,339",a,"1,408",a,5.8,a,4.8,a
Barrie CMA,3.2,b,2.1,b,↓,**,,18.0,d,,"1,336",a,"1,393",a,4.0,b,8.0,c
Belleville CMA,3.3,b,3.0,b,-,16.3,d,18.0,a,-,"1,106",a,"1,161",a,5.7,c,6.3,b
Brantford CMA,2.3,a,2.2,b,-,15.9,d,12.3,c,↓,"1,037",a,"1,102",a,4.7,c,5.3,c
Guelph CMA,2.0,a,2.2,a,-,15.0,d,17.6,d,-,"1,282",a,"1,356",a,5.5,a,4.8,b
Hamilton CMA,3.9,a,3.5,a,-,14.0,a,12.0,a,↓,"1,219",a,"1,291",a,4.4,b,5.0,b
Kingston CMA,1.9,a,3.2,b,↑,17.4,a,18.2,a,-,"1,289",a,"1,327",a,7.4,b,2.5,b
Kitchener-Cambridge-Waterloo CMA,2.1,a,2.1,a,-,14.2,a,14.0,a,-,"1,231",a,"1,295",a,5.0,a,4.0,b
London CMA,1.8,a,3.4,a,↑,19.3,a,16.1,a,↓,"1,107",a,"1,207",a,4.9,a,6.8,a
St. Catharines-Niagara CMA,2.3,a,2.7,a,-,15.3,d,13.2,a,-,"1,093",a,"1,137",a,3.9,b,6.1,b
Oshawa CMA,2.4,a,2.3,b,-,9.9,b,10.9,c,-,"1,264",a,"1,352",a,5.0,c,4.6,c
Ottawa-Gatineau CMA (Ont. part),1.8,a,3.9,b,↑,17.9,a,17.9,a,-,"1,410",a,"1,517",a,8.0,a,5.2,b
Peterborough CMA,2.1,a,2.6,a,↑,12.8,a,14.6,c,-,"1,104",a,"1,191",a,3.2,d,5.3,c
