,,,,,,,,,,,,,,,,,,
1.0 Rental Market Indicators - Privately Initiated Apartment Structures of Three Units and Over - Provinces and Major Centres,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Vacancy Rates (%),,,,,Turnover Rates (%),,,,,Average Rent Two Bedroom ($) (New and Existing Structures),,,,Percentage Change of Average Rent Two Bedroom From Fixed Sample (Existing Structures Only),,,
Centre,Oct-24,,Oct-25,,,Oct-24,,Oct-25,,,Oct-24,,Oct-25,,"Oct-23
to
Oct-24",,"Oct-24
to
Oct-25",
"Newfoundland and Labrador 10,000+",1.8,a,2.1,b,-,12.7,a,11.3,a,↓,"1,109",a,"1,208",b,3.2,c,6.6,b
St. John's CMA,2.1,b,2.0,a,-,14.1,a,13.0,a,-,"1,250",a,"1,361",b,2.1,c,7.6,b
"Prince Edward Island 10,000+",0.8,a,2.1,b,↑,8.2,b,9.8,b,-,"1,181",a,"1,293",a,3.8,d,**,
Charlottetown CA,0.7,a,1.6,c,↑,9.1,b,9.8,b,-,"1,196",a,"1,300",a,3.3,d,4.7,d
"Nova Scotia 10,000+",2.0,a,2.6,a,↑,10.0,a,8.9,a,↓,"1,606",a,"1,711",a,4.5,c,6.7,b
Halifax CMA,2.1,a,2.7,a,↑,10.0,a,9.0,a,↓,"1,707",a,"1,826",a,3.8,c,6.7,b
"New Brunswick 10,000+",2.0,a,2.9,a,↑,14.1,a,13.2,a,-,"1,285",a,"1,368",a,6.4,b,5.3,b
Fredericton CMA,0.9,a,2.5,a,↑,18.1,a,13.1,a,↓,"1,341",a,"1,413",a,5.5,b,5.2,b
Moncton CMA,1.5,a,3.9,b,↑,13.4,a,15.4,a,↑,"1,353",a,"1,453",a,4.8,c,4.7,c
Saint John CMA,4.0,b,1.9,c,↓,13.8,c,11.8,c,-,"1,229",a,"1,290",a,7.4,c,5.8,c
"Québec 10,000+",1.8,a,2.7,a,↑,11.6,a,10.4,a,↓,"1,131",a,"1,273",a,6.2,a,7.2,a
Saguenay CMA,1.6,c,1.3,a,-,13.3,c,12.6,c,-,882,a,985,a,8.6,b,10.9,c
Drummondville CMA,1.5,a,1.8,c,-,14.3,d,10.9,c,-,888,b,"1,045",b,**,,**,
Montréal CMA,2.1,b,2.9,a,↑,11.1,a,9.4,a,↓,"1,176",a,"1,346",a,6.3,b,7.2,a
Ottawa-Gatineau CMA (Qué. part),1.9,b,3.8,c,↑,17.3,d,16.2,d,-,"1,353",a,"1,460",a,2.5,c,4.7,d
Québec CMA,0.9,a,2.4,a,↑,13.9,a,13.0,a,-,"1,159",a,"1,277",a,5.2,b,6.1,b
Sherbrooke CMA,1.4,a,2.7,a,↑,10.4,a,12.0,a,↑,"1,002",a,"1,062",a,8.8,c,9.8,b
Trois-Rivières CMA,0.9,a,2.7,b,↑,10.2,c,10.1,c,-,885,a,"1,016",a,5.7,c,6.6,b
"Ontario 10,000+",2.7,a,3.2,a,↑,9.4,a,11.2,a,↑,"1,758",a,"1,827",a,4.0,a,3.7,a
Barrie CMA,3.4,b,4.3,b,↑,12.7,a,12.8,c,-,"1,706",a,"1,755",a,4.7,d,4.3,c
Belleville - Quinte West CMA,3.5,c,3.4,c,-,15.9,d,16.9,d,-,"1,448",a,"1,484",a,5.9,d,**,
Brantford CMA,2.3,c,3.5,c,↑,12.2,c,14.5,c,-,"1,438",a,"1,619",a,11.3,d,**,
Guelph CMA,1.9,a,3.1,b,↑,11.4,a,15.1,a,↑,"1,740",a,"1,802",a,3.7,c,4.6,b
Hamilton CMA,2.4,a,3.6,a,↑,9.5,a,13.1,a,↑,"1,632",a,"1,656",a,2.3,c,1.6,c
Kingston CMA,2.9,a,2.4,a,-,16.4,a,17.3,a,-,"1,676",a,"1,764",a,5.3,b,2.4,c
Kitchener-Cambridge-Waterloo CMA,3.6,b,4.1,b,-,12.0,a,16.1,a,↑,"1,766",a,"1,832",a,4.2,b,3.3,b
London CMA,2.9,a,4.0,a,↑,13.4,a,15.1,a,↑,"1,548",a,"1,651",a,6.2,a,4.1,b
St. Catharines-Niagara CMA,3.8,b,3.9,b,-,12.4,c,12.8,a,-,"1,474",a,"1,527",a,3.7,d,5.5,c
Oshawa CMA,3.6,b,3.7,b,-,6.1,c,4.8,c,-,"1,686",a,"1,754",a,**,,**,
Ottawa-Gatineau CMA (Ont. part),2.6,a,3.0,b,↑,14.5,a,15.4,a,↑,"1,880",a,"1,926",a,5.0,b,3.4,b
Peterborough CMA,3.3,b,3.1,b,-,10.2,c,8.4,b,-,"1,506",a,"1,518",a,4.5,d,**,
Greater Sudbury/Grand Sudbury CMA,1.5,a,1.2,a,-,8.3,b,6.6,b,-,"1,462",a,"1,558",a,11.8,d,**,
Thunder Bay CMA,3.2,b,4.0,b,↑,10.9,c,3.4,b,↓,"1,443",a,"1,495",a,7.6,b,6.8,b
Toronto CMA,2.5,a,3.0,a,↑,6.4,a,8.7,a,↑,"1,974",a,"2,046",a,2.7,b,3.4,b
Windsor CMA,3.3,b,3.7,b,-,11.8,a,12.2,a,-,"1,387",a,"1,454",a,5.4,d,3.6,d
"Manitoba 10,000+",1.7,a,2.9,a,↑,18.5,a,21.7,a,↑,"1,448",a,"1,507",a,5.2,a,1.9,b
Winnipeg CMA,1.7,a,2.8,a,↑,18.5,a,22.2,a,↑,"1,507",a,"1,571",a,5.3,a,1.9,b
"Saskatchewan 10,000+",2.6,a,3.4,a,↑,29.5,a,23.0,a,↓,"1,380",a,"1,451",a,7.7,a,5.1,a
Regina CMA,2.6,a,2.7,a,-,31.6,a,27.6,a,↓,"1,415",a,"1,473",a,8.5,a,4.2,a
Saskatoon CMA,2.0,a,3.3,a,↑,28.6,a,19.3,a,↓,"1,471",a,"1,548",a,7.2,a,5.2,a
"Alberta 10,000+",3.6,a,4.3,a,↑,26.1,a,27.2,a,↑,"1,616",a,"1,680",a,7.9,a,2.4,a
Calgary CMA,4.8,b,5.0,a,-,23.6,a,24.9,a,-,"1,882",a,"1,914",a,8.9,a,++,
Edmonton CMA,3.1,b,3.8,b,↑,26.5,a,28.8,a,↑,"1,536",a,"1,603",a,7.0,a,3.5,a
